,Date,Positive,Negative,Neutral,Compound
1232,2019-07-10,0.08550000000000003,0.07418055555555556,0.8402916666666668,0.0927027777777778
1233,2019-07-11,0.11131428571428569,0.07871428571428571,0.8100285714285713,0.12024857142857139
1234,2019-07-12,0.13435114503816792,0.06904580152671756,0.7965725190839694,0.1920748091603054
1235,2019-07-13,0.1250588235294118,0.03641176470588236,0.8384509803921569,0.2096607843137255
1236,2019-07-14,0.15602083333333333,0.06420833333333334,0.7797916666666667,0.24949374999999996
1237,2019-07-15,0.14302564102564097,0.05096153846153846,0.8059743589743589,0.25977820512820515
1238,2019-07-16,0.127231884057971,0.05281159420289855,0.8199275362318841,0.2030811594202898
1239,2019-07-17,0.1191212121212121,0.0688181818181818,0.8120202020202022,0.14276363636363631
1240,2019-07-18,0.11176666666666664,0.06216666666666667,0.8260833333333335,0.2033916666666667
1241,2019-07-19,0.07456363636363636,0.05798181818181818,0.8674363636363634,0.009263636363636368
1242,2019-07-20,0.12247727272727273,0.05029545454545454,0.8272499999999998,0.2060977272727273
1243,2019-07-21,0.07671428571428571,0.04133333333333334,0.881952380952381,0.10716666666666667
1244,2019-07-22,0.09370731707317072,0.053609756097560975,0.852731707317073,0.20899268292682927
1245,2019-07-23,0.10465714285714282,0.06737142857142857,0.8279428571428572,0.11686857142857142
1246,2019-07-24,0.11657142857142858,0.04921428571428571,0.8342142857142857,0.23990476190476184
1247,2019-07-25,0.12434090909090913,0.05495454545454546,0.8207045454545454,0.2509249999999999
1248,2019-07-26,0.12968965517241376,0.09479310344827586,0.7755172413793104,0.1241448275862069
1249,2019-07-27,0.08899999999999998,0.07188571428571429,0.8391142857142856,0.13518
1250,2019-07-28,0.15885185185185183,0.07514814814814814,0.765962962962963,0.2311222222222222
1251,2019-07-29,0.12144897959183676,0.05987755102040817,0.8186326530612245,0.17299387755102047
1252,2019-07-30,0.13141463414634147,0.06570731707317073,0.802829268292683,0.23631951219512198
1253,2019-07-31,0.14634042553191487,0.0811063829787234,0.7725106382978725,0.23809787234042556
1254,2019-08-01,0.1771,0.05124000000000001,0.7716000000000001,0.36294200000000004
1255,2019-08-02,0.107025,0.06344999999999999,0.829525,0.13548750000000004
1256,2019-08-03,0.09808823529411764,0.0743529411764706,0.8274999999999999,0.055411764705882376
1257,2019-08-04,0.07812500000000001,0.066375,0.8554583333333334,0.090075
1258,2019-08-05,0.12294505494505498,0.0902197802197802,0.7868021978021978,0.10225714285714284
1259,2019-08-06,0.13509615384615378,0.09182692307692307,0.7731153846153844,0.1579346153846154
1260,2019-08-07,0.12975,0.07843750000000001,0.7918333333333333,0.14598333333333333
1261,2019-08-08,0.11959523809523809,0.056809523809523824,0.8235952380952382,0.19136666666666666
1262,2019-08-09,0.13940816326530617,0.07593877551020409,0.784612244897959,0.16622244897959187
1263,2019-08-10,0.14471428571428568,0.048047619047619054,0.8072857142857143,0.2591
1264,2019-08-11,0.130125,0.11137500000000002,0.7586250000000002,0.056425
1265,2019-08-12,0.10126086956521738,0.08293478260869565,0.8158043478260871,0.05149565217391305
1266,2019-08-13,0.10227027027027026,0.06721621621621623,0.8304864864864865,0.10034594594594597
1267,2019-08-14,0.12207142857142858,0.07214285714285715,0.8058035714285713,0.1520089285714286
1268,2019-08-15,0.12147368421052629,0.09223684210526316,0.7863157894736843,0.11769210526315786
1269,2019-08-16,0.08320454545454546,0.07525000000000001,0.8415227272727273,0.03515909090909092
1270,2019-08-17,0.10029629629629629,0.11285185185185186,0.7868518518518518,0.04433333333333335
1271,2019-08-18,0.11928947368421054,0.09221052631578948,0.7885789473684209,0.023278947368421038
1272,2019-08-19,0.1313170731707317,0.07190243902439024,0.7967317073170731,0.1214243902439024
1273,2019-08-20,0.13506666666666664,0.04835,0.8165666666666667,0.22544666666666663
1274,2019-08-21,0.16463888888888886,0.07169444444444445,0.7636111111111111,0.20006666666666667
1275,2019-08-22,0.12683673469387757,0.06469387755102039,0.8084489795918365,0.15693469387755105
1276,2019-08-23,0.12437777777777775,0.09408888888888889,0.7816,0.11574666666666664
1277,2019-08-24,0.07518181818181817,0.08733333333333333,0.8374848484848484,-0.05841212121212123
1278,2019-08-25,0.10696296296296298,0.11318518518518517,0.779814814814815,0.003592592592592594
1279,2019-08-26,0.12729411764705884,0.08129411764705884,0.7914705882352941,0.09196176470588235
1280,2019-08-27,0.09641379310344829,0.09675862068965517,0.8068275862068968,0.04251034482758619
1281,2019-08-28,0.0967837837837838,0.03548648648648649,0.8677297297297294,0.1873675675675676
1282,2019-08-29,0.13812500000000003,0.06312499999999999,0.798725,0.30380499999999994
1283,2019-08-30,0.12610810810810813,0.0974864864864865,0.7763243243243243,0.11051891891891892
1284,2019-08-31,0.12748148148148147,0.05222222222222221,0.8202962962962963,0.1528851851851852
1285,2019-09-01,0.08466666666666667,0.12366666666666666,0.7919999999999999,-0.11703333333333332
1286,2019-09-02,0.11677192982456139,0.07870175438596494,0.8045614035087718,0.12686666666666666
1287,2019-09-03,0.12944444444444445,0.05640000000000001,0.8140888888888885,0.18909555555555554
1288,2019-09-04,0.09048484848484846,0.09145454545454546,0.818030303030303,0.02766060606060607
1289,2019-09-05,0.14362499999999997,0.06420000000000001,0.7922749999999998,0.2579524999999999
1290,2019-09-06,0.15869767441860466,0.08283720930232559,0.7584883720930231,0.18934418604651168
1291,2019-09-07,0.12457692307692311,0.05361538461538461,0.8217692307692308,0.2347192307692308
1292,2019-09-08,0.10727027027027027,0.06816216216216217,0.8245945945945947,0.14519189189189188
1293,2019-09-09,0.11054285714285712,0.056428571428571425,0.8329714285714287,0.17207142857142851
1294,2019-09-10,0.14403225806451617,0.07035483870967742,0.7856129032258065,0.2123193548387097
1295,2019-09-11,0.11859523809523809,0.0647857142857143,0.8166190476190478,0.18837619047619047
1296,2019-09-12,0.12193220338983053,0.08454237288135594,0.7934576271186438,0.09248813559322035
1297,2019-09-13,0.17008000000000004,0.07171999999999999,0.7582800000000001,0.3329720000000001
1298,2019-09-14,0.09203999999999997,0.03368,0.8742800000000002,0.213892
1299,2019-09-15,0.0836857142857143,0.03211428571428572,0.8841714285714286,0.14828285714285716
1300,2019-09-16,0.12987500000000002,0.07075000000000001,0.7993750000000002,0.18045500000000003
1301,2019-09-17,0.14625,0.057681818181818174,0.7961136363636363,0.18341590909090913
