,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
639,11/24/2017,0.145631579,0.052421053,0.801947368,0.234152632,8190.87125,8094.445,8333.17375,8025.19625
640,11/25/2017,0.1099,0.0582,0.831933333,0.114876667,8851.305,8190.87125,8909.31,8190.87125
641,11/26/2017,0.085171429,0.028542857,0.8863,0.172228571,9573.9675,8851.305,9682.10125,8834.3875
642,11/27/2017,0.10721978,0.059395604,0.833395604,0.140937363,9713.09625,9573.9675,9743.12375,9382.13125
643,11/28/2017,0.112811594,0.076449275,0.810695652,0.155010145,10295.6225,9713.09625,10358.30625,9690.33375
644,11/29/2017,0.10440113,0.058920904,0.836661017,0.136254237,10542.6625,10295.6225,11377.33375,9290.29625
645,11/30/2017,0.102662791,0.076906977,0.82044186,0.065967442,9706.10375,10542.6625,10681.85125,9021.84874
646,12/1/2017,0.1031875,0.062609375,0.8341875,0.08848125,10923.20125,9706.10375,11082.27,9421.45624
647,12/2/2017,0.115146341,0.074853659,0.810073171,0.104460976,10973.54375,10923.20125,11156.145,10705.12999
648,12/3/2017,0.114348485,0.051893939,0.83380303,0.146948485,11382.20875,10973.54375,11831.5125,10495.5625
649,12/4/2017,0.109733333,0.066844444,0.823377778,0.076844444,11597.23125,11382.20875,11662.84375,10875.71375
650,12/5/2017,0.120676923,0.085307692,0.794,0.133241538,12230.365,11597.23125,12273.54,11473.50875
651,12/6/2017,0.101817518,0.061810219,0.836372263,0.109235766,13734.52,12230.365,14097.04,12152.1075
652,12/7/2017,0.102443182,0.064840909,0.832715909,0.105589015,16403.42125,13734.52,17153.94125,13731.82
653,12/8/2017,0.107690789,0.075125,0.817177632,0.092565132,15732.1,16403.42125,16590.21375,13963.52875
654,12/9/2017,0.118603175,0.065809524,0.815531746,0.136121429,13152.52875,15732.1,15859.42375,13152.52875
655,12/10/2017,0.117125,0.067183824,0.815654412,0.135527941,16299.2975,13152.52875,16587.8425,13152.52875
656,12/11/2017,0.113740385,0.066894231,0.819365385,0.147975,16374.8975,16299.2975,17382.63874,16031.4475
657,12/12/2017,0.112563107,0.068067961,0.819339806,0.132568932,16678.28749,16374.8975,17615.4725,16259.2775
658,12/13/2017,0.126813953,0.066244186,0.806976744,0.184967442,16246.13875,16678.28749,17335.73125,15799.8675
659,12/14/2017,0.131884058,0.081391304,0.786782609,0.134295652,17221.65125,16246.13875,17583.2,16152.01375
660,12/15/2017,0.116329787,0.066819149,0.816861702,0.105525532,17436.5975,17221.65125,17872.555,16999.70375
661,12/16/2017,0.118257576,0.064590909,0.817166667,0.100928788,19166.97874,17436.5975,19521.7825,17436.5975
662,12/17/2017,0.108546875,0.0914375,0.799984375,0.066065625,18640.2625,19166.97874,19783.20625,18094.19374
663,12/18/2017,0.122527027,0.049864865,0.827635135,0.229190541,18984.7675,18640.2625,19227.0825,18329.145
664,12/19/2017,0.093433333,0.0629,0.843666667,0.098903333,16862.57125,18984.7675,18984.7675,15577.7425
665,12/20/2017,0.118438017,0.078818182,0.802719008,0.101455372,16925.0175,16862.57125,17822.56625,15683.86125
666,12/21/2017,0.093630137,0.088863014,0.817506849,0.022441096,14182.46499,16925.0175,17301.21125,13077.93666
667,12/22/2017,0.113427083,0.082265625,0.804302083,0.085625,14694.5825,14182.46499,14976.25625,10834.94375
