,Unnamed: 0,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
1384,1384,2019-12-09,0.09697297297297296,0.058432432432432437,0.8445675675675677,0.1391081081081081,[7333.09604316],[7550.23881523],[7652.74260617],[7285.22776774]
1385,1385,2019-12-10,0.07257142857142855,0.06628571428571428,0.8612142857142857,0.034025000000000014,[7239.76257544],[7333.0958889],[7394.50467576],[7161.52729088]
1386,1386,2019-12-11,0.14191304347826084,0.04391304347826086,0.8141304347826086,0.34096086956521743,[7198.06667705],[7240.07822702],[7269.47439125],[7131.64405445]
1387,1387,2019-12-12,0.10722580645161288,0.06787096774193549,0.8248064516129032,0.1458806451612903,[7190.27236926],[7203.95660632],[7282.33614277],[7081.88022052]
1388,1388,2019-12-13,0.13379310344827589,0.03317241379310345,0.8330689655172414,0.3296862068965517,[7238.87432299],[7188.07189512],[7297.58889434],[7183.20175448]
1389,1389,2019-12-14,0.08396551724137932,0.09941379310344828,0.8166206896551725,0.05456551724137932,[7087.02498535],[7238.99308949],[7271.57118428],[7007.42692286]
1390,1390,2019-12-15,0.12585714285714286,0.048047619047619054,0.8260952380952379,0.20333809523809526,[7112.73147612],[7087.02495776],[7198.32383975],[7007.558814]
1391,1391,2019-12-16,0.09207142857142857,0.05517857142857143,0.8527857142857144,0.1746892857142857,[6883.49639377],[7112.50497677],[7139.58024337],[6828.47944833]
1392,1392,2019-12-17,0.1316153846153846,0.07407692307692308,0.7943461538461538,0.2160307692307692,[6584.02884335],[6884.66155356],[6933.74117938],[6565.00964459]
1393,1393,2019-12-18,0.11062162162162162,0.07037837837837838,0.8189729729729731,0.14909729729729734,[7424.01540023],[6584.03042422],[7424.06402963],[6427.95938645]
1394,1394,2019-12-19,0.0940625,0.02721875,0.8787812499999998,0.255140625,[7147.56832379],[7285.1220445],[7367.15885611],[7043.16224946]
1395,1395,2019-12-20,0.1124,0.04852,0.8390800000000002,0.2740360000000001,[7139.93337053],[7147.569001],[7177.39215106],[7076.11104036]
1396,1396,2019-12-21,0.10795238095238092,0.07514285714285715,0.8169047619047618,0.14200000000000002,[7286.33508116],[7155.21317455],[7328.9308126],[7122.02423349]
