Date,Positive,Negative,Neutral,Compound,Closing_price
11/20/2019,0.121642857,0.059166667,0.819190476,0.223688095,8074.843174
11/21/2019,0.097863636,0.114409091,0.787704545,-0.014565909,7612.740574
11/22/2019,0.060808511,0.108425532,0.830765957,-0.09067234,7262.110535
11/23/2019,0.142190476,0.111238095,0.74652381,0.160004762,7303.405759
11/24/2019,0.118942857,0.095028571,0.786085714,0.136082857,7041.732936
11/25/2019,0.165840909,0.081954545,0.752204545,0.284434091,7211.861809
11/26/2019,0.114547619,0.075,0.81047619,0.104911905,7141.069449
11/27/2019,0.118,0.065241379,0.816724138,0.152472414,7523.480673
11/28/2019,0.11868,0.05584,0.8254,0.199104,7390.207469
11/29/2019,0.126028571,0.063685714,0.810285714,0.092894286,7729.265939
11/30/2019,0.100954545,0.047818182,0.851181818,0.231745455,7542.235609
12/1/2019,0.1161,0.0662,0.81765,0.14325,7381.963008
12/2/2019,0.132870968,0.051193548,0.815870968,0.22386129,7333.43293
12/3/2019,0.132185185,0.058037037,0.809740741,0.284903704,7315.367765
12/4/2019,0.109538462,0.057923077,0.832538462,0.200820513,7213.733762
12/5/2019,0.108857143,0.07775,0.813464286,0.188932143,7398.78705
12/6/2019,0.13728125,0.078375,0.78428125,0.18240625,7511.880583
12/7/2019,0.098714286,0.056714286,0.844535714,0.160903571,7532.123513
12/8/2019,0.108689655,0.063448276,0.827965517,0.212858621,7550.2392
12/9/2019,0.096972973,0.058432432,0.844567568,0.139108108,7333.096043
12/10/2019,0.072571429,0.066285714,0.861214286,0.034025,7239.762575
12/11/2019,0.141913043,0.043913043,0.814130435,0.34096087,7198.066677
12/12/2019,0.107225806,0.067870968,0.824806452,0.145880645,7190.272369
12/13/2019,0.133793103,0.033172414,0.833068966,0.329686207,7238.874323
12/14/2019,0.083965517,0.099413793,0.81662069,0.054565517,7087.024985
12/15/2019,0.125857143,0.048047619,0.826095238,0.203338095,7112.731476
12/16/2019,0.092071429,0.055178571,0.852785714,0.174689286,6883.496394
12/17/2019,0.131615385,0.074076923,0.794346154,0.216030769,6584.028843
12/18/2019,0.110621622,0.070378378,0.818972973,0.149097297,7424.0154
